patent_no,http,url
4243587,https://www.google.com/patents/US,
4243588,https://www.google.com/patents/US,
4243813,https://www.google.com/patents/US,
4246265,https://www.google.com/patents/US,
4247542,https://www.google.com/patents/US,
4247703,https://www.google.com/patents/US,
4251439,https://www.google.com/patents/US,
4252624,https://www.google.com/patents/US,
4252898,https://www.google.com/patents/US,
4252950,https://www.google.com/patents/US,
4252951,https://www.google.com/patents/US,
4252953,https://www.google.com/patents/US,
4252954,https://www.google.com/patents/US,
4252955,https://www.google.com/patents/US,
4259234,https://www.google.com/patents/US,
4259242,https://www.google.com/patents/US,
4259347,https://www.google.com/patents/US,
4259354,https://www.google.com/patents/US,
4259485,https://www.google.com/patents/US,
4259501,https://www.google.com/patents/US,
RE30560,https://www.google.com/patents/US,
RE30561,https://www.google.com/patents/US,
RE30563,https://www.google.com/patents/US,
4260745,https://www.google.com/patents/US,
4261991,https://www.google.com/patents/US,
4263910,https://www.google.com/patents/US,
4264491,https://www.google.com/patents/US,
4264521,https://www.google.com/patents/US,
4264575,https://www.google.com/patents/US,
4264576,https://www.google.com/patents/US,
4264577,https://www.google.com/patents/US,
4264578,https://www.google.com/patents/US,
4264581,https://www.google.com/patents/US,
4264600,https://www.google.com/patents/US,
4264605,https://www.google.com/patents/US,
4264622,https://www.google.com/patents/US,
4264775,https://www.google.com/patents/US,
4265808,https://www.google.com/patents/US,
4265901,https://www.google.com/patents/US,
4266049,https://www.google.com/patents/US,
4268502,https://www.google.com/patents/US,
4268526,https://www.google.com/patents/US,
4271162,https://www.google.com/patents/US,
4271166,https://www.google.com/patents/US,
4271305,https://www.google.com/patents/US,
4272519,https://www.google.com/patents/US,
4272544,https://www.google.com/patents/US,
4273920,https://www.google.com/patents/US,
4275210,https://www.google.com/patents/US,
4276300,https://www.google.com/patents/US,
4277471,https://www.google.com/patents/US,
4277495,https://www.google.com/patents/US,
4277501,https://www.google.com/patents/US,
4277608,https://www.google.com/patents/US,
4278570,https://www.google.com/patents/US,
4278603,https://www.google.com/patents/US,
4278797,https://www.google.com/patents/US,
4281003,https://www.google.com/patents/US,
4281116,https://www.google.com/patents/US,
4281117,https://www.google.com/patents/US,
4281141,https://www.google.com/patents/US,
4282030,https://www.google.com/patents/US,
4282170,https://www.google.com/patents/US,
4282362,https://www.google.com/patents/US,
4283329,https://www.google.com/patents/US,
4283330,https://www.google.com/patents/US,
4283349,https://www.google.com/patents/US,
4283388,https://www.google.com/patents/US,
4283390,https://www.google.com/patents/US,
4283403,https://www.google.com/patents/US,
4284635,https://www.google.com/patents/US,
4287120,https://www.google.com/patents/US,
4287302,https://www.google.com/patents/US,
4288549,https://www.google.com/patents/US,
4288624,https://www.google.com/patents/US,
4289692,https://www.google.com/patents/US,
4289695,https://www.google.com/patents/US,
4289766,https://www.google.com/patents/US,
4289773,https://www.google.com/patents/US,
4289778,https://www.google.com/patents/US,
4289782,https://www.google.com/patents/US,
4289787,https://www.google.com/patents/US,
4293482,https://www.google.com/patents/US,
4293483,https://www.google.com/patents/US,
4293484,https://www.google.com/patents/US,
4293485,https://www.google.com/patents/US,
4293486,https://www.google.com/patents/US,
4293487,https://www.google.com/patents/US,
4293488,https://www.google.com/patents/US,
4293489,https://www.google.com/patents/US,
4293490,https://www.google.com/patents/US,
4293491,https://www.google.com/patents/US,
4293493,https://www.google.com/patents/US,
4293495,https://www.google.com/patents/US,
4293539,https://www.google.com/patents/US,
4293552,https://www.google.com/patents/US,
4293558,https://www.google.com/patents/US,
4293649,https://www.google.com/patents/US,
4294964,https://www.google.com/patents/US,
4297277,https://www.google.com/patents/US,
4299614,https://www.google.com/patents/US,
4299762,https://www.google.com/patents/US,
4299763,https://www.google.com/patents/US,
4299953,https://www.google.com/patents/US,
4299954,https://www.google.com/patents/US,
4301282,https://www.google.com/patents/US,
4301313,https://www.google.com/patents/US,
4302391,https://www.google.com/patents/US,
4303584,https://www.google.com/patents/US,
4303591,https://www.google.com/patents/US,
4303647,https://www.google.com/patents/US,
4304716,https://www.google.com/patents/US,
4304774,https://www.google.com/patents/US,
4304791,https://www.google.com/patents/US,
4304856,https://www.google.com/patents/US,
4309258,https://www.google.com/patents/US,
4309343,https://www.google.com/patents/US,
4309431,https://www.google.com/patents/US,
4309446,https://www.google.com/patents/US,
4309504,https://www.google.com/patents/US,
4309506,https://www.google.com/patents/US,
4311710,https://www.google.com/patents/US,
4311837,https://www.google.com/patents/US,
4311844,https://www.google.com/patents/US,
D262746,https://www.google.com/patents/US,
4313896,https://www.google.com/patents/US,
4314081,https://www.google.com/patents/US,
4315990,https://www.google.com/patents/US,
4316021,https://www.google.com/patents/US,
4316842,https://www.google.com/patents/US,
4316955,https://www.google.com/patents/US,
4316959,https://www.google.com/patents/US,
4316988,https://www.google.com/patents/US,
4318866,https://www.google.com/patents/US,
4318911,https://www.google.com/patents/US,
4319028,https://www.google.com/patents/US,
4319916,https://www.google.com/patents/US,
4320052,https://www.google.com/patents/US,
4320053,https://www.google.com/patents/US,
4320054,https://www.google.com/patents/US,
4320055,https://www.google.com/patents/US,
4320058,https://www.google.com/patents/US,
4321361,https://www.google.com/patents/US,
4321362,https://www.google.com/patents/US,
4322338,https://www.google.com/patents/US,
4322339,https://www.google.com/patents/US,
4322340,https://www.google.com/patents/US,
4322342,https://www.google.com/patents/US,
4322343,https://www.google.com/patents/US,
4322351,https://www.google.com/patents/US,
4322406,https://www.google.com/patents/US,
4322428,https://www.google.com/patents/US,
4322429,https://www.google.com/patents/US,
4322430,https://www.google.com/patents/US,
4322497,https://www.google.com/patents/US,
4322540,https://www.google.com/patents/US,
4323707,https://www.google.com/patents/US,
4329356,https://www.google.com/patents/US,
4329454,https://www.google.com/patents/US,
4329472,https://www.google.com/patents/US,
4331594,https://www.google.com/patents/US,
4331652,https://www.google.com/patents/US,
4331654,https://www.google.com/patents/US,
4331658,https://www.google.com/patents/US,
4333873,https://www.google.com/patents/US,
4333919,https://www.google.com/patents/US,
4333923,https://www.google.com/patents/US,
4334019,https://www.google.com/patents/US,
4334063,https://www.google.com/patents/US,
4334064,https://www.google.com/patents/US,
4334065,https://www.google.com/patents/US,
4334079,https://www.google.com/patents/US,
4335240,https://www.google.com/patents/US,
4336056,https://www.google.com/patents/US,
4336191,https://www.google.com/patents/US,
4336250,https://www.google.com/patents/US,
4336253,https://www.google.com/patents/US,
4336264,https://www.google.com/patents/US,
4336269,https://www.google.com/patents/US,
4336333,https://www.google.com/patents/US,
4337341,https://www.google.com/patents/US,
4338118,https://www.google.com/patents/US,
4338315,https://www.google.com/patents/US,
4338321,https://www.google.com/patents/US,
4338329,https://www.google.com/patents/US,
4338436,https://www.google.com/patents/US,
4338439,https://www.google.com/patents/US,
4338449,https://www.google.com/patents/US,
4338452,https://www.google.com/patents/US,
4341770,https://www.google.com/patents/US,
4341771,https://www.google.com/patents/US,
4342751,https://www.google.com/patents/US,
4342829,https://www.google.com/patents/US,
4345935,https://www.google.com/patents/US,
4345936,https://www.google.com/patents/US,
4346076,https://www.google.com/patents/US,
4346094,https://www.google.com/patents/US,
4346219,https://www.google.com/patents/US,
4346225,https://www.google.com/patents/US,
4351763,https://www.google.com/patents/US,
4354030,https://www.google.com/patents/US,
4354971,https://www.google.com/patents/US,
4355029,https://www.google.com/patents/US,
4355030,https://www.google.com/patents/US,
4355172,https://www.google.com/patents/US,
4356207,https://www.google.com/patents/US,
4357275,https://www.google.com/patents/US,
4357325,https://www.google.com/patents/US,
4357334,https://www.google.com/patents/US,
4358584,https://www.google.com/patents/US,
4358593,https://www.google.com/patents/US,
4360665,https://www.google.com/patents/US,
4362550,https://www.google.com/patents/US,
4362664,https://www.google.com/patents/US,
4362747,https://www.google.com/patents/US,
4362881,https://www.google.com/patents/US,
4366147,https://www.google.com/patents/US,
4366155,https://www.google.com/patents/US,
4366168,https://www.google.com/patents/US,
4366247,https://www.google.com/patents/US,
4367231,https://www.google.com/patents/US,
4368156,https://www.google.com/patents/US,
4368187,https://www.google.com/patents/US,
4368188,https://www.google.com/patents/US,
4368189,https://www.google.com/patents/US,
4372944,https://www.google.com/patents/US,
4373263,https://www.google.com/patents/US,
4375432,https://www.google.com/patents/US,
4375462,https://www.google.com/patents/US,
4375513,https://www.google.com/patents/US,
4375547,https://www.google.com/patents/US,
4376860,https://www.google.com/patents/US,
4378368,https://www.google.com/patents/US,
4379739,https://www.google.com/patents/US,
4379781,https://www.google.com/patents/US,
4379787,https://www.google.com/patents/US,
4379917,https://www.google.com/patents/US,
4379929,https://www.google.com/patents/US,
4380635,https://www.google.com/patents/US,
4380641,https://www.google.com/patents/US,
4381312,https://www.google.com/patents/US,
4382090,https://www.google.com/patents/US,
4382093,https://www.google.com/patents/US,
RE31226,https://www.google.com/patents/US,
RE31227,https://www.google.com/patents/US,
4382931,https://www.google.com/patents/US,
4382932,https://www.google.com/patents/US,
4382960,https://www.google.com/patents/US,
4385116,https://www.google.com/patents/US,
4388316,https://www.google.com/patents/US,
4391826,https://www.google.com/patents/US,
4394313,https://www.google.com/patents/US,
4394510,https://www.google.com/patents/US,
4395410,https://www.google.com/patents/US,
4395560,https://www.google.com/patents/US,
4396543,https://www.google.com/patents/US,
4396613,https://www.google.com/patents/US,
4396619,https://www.google.com/patents/US,
4396620,https://www.google.com/patents/US,
4398044,https://www.google.com/patents/US,
4399067,https://www.google.com/patents/US,
D270138,https://www.google.com/patents/US,
4400375,https://www.google.com/patents/US,
4400503,https://www.google.com/patents/US,
4400510,https://www.google.com/patents/US,
4400543,https://www.google.com/patents/US,
4401660,https://www.google.com/patents/US,
4401668,https://www.google.com/patents/US,
4401817,https://www.google.com/patents/US,
4402803,https://www.google.com/patents/US,
4402955,https://www.google.com/patents/US,
4404281,https://www.google.com/patents/US,
4404282,https://www.google.com/patents/US,
4405552,https://www.google.com/patents/US,
4405609,https://www.google.com/patents/US,
4406898,https://www.google.com/patents/US,
RE31396,https://www.google.com/patents/US,
4407750,https://www.google.com/patents/US,
4407820,https://www.google.com/patents/US,
D270944,https://www.google.com/patents/US,
4410628,https://www.google.com/patents/US,
4411753,https://www.google.com/patents/US,
4413126,https://www.google.com/patents/US,
4415085,https://www.google.com/patents/US,
4415751,https://www.google.com/patents/US,
4416659,https://www.google.com/patents/US,
4416683,https://www.google.com/patents/US,
4416994,https://www.google.com/patents/US,
4417046,https://www.google.com/patents/US,
4417662,https://www.google.com/patents/US,
4418068,https://www.google.com/patents/US,
D271623,https://www.google.com/patents/US,
4419447,https://www.google.com/patents/US,
4419508,https://www.google.com/patents/US,
4419509,https://www.google.com/patents/US,
4420479,https://www.google.com/patents/US,
4421546,https://www.google.com/patents/US,
4421685,https://www.google.com/patents/US,
4421759,https://www.google.com/patents/US,
4423065,https://www.google.com/patents/US,
4423148,https://www.google.com/patents/US,
4424344,https://www.google.com/patents/US,
4424345,https://www.google.com/patents/US,
4424362,https://www.google.com/patents/US,
4426517,https://www.google.com/patents/US,
4426528,https://www.google.com/patents/US,
4426536,https://www.google.com/patents/US,
4430113,https://www.google.com/patents/US,
4430266,https://www.google.com/patents/US,
4430268,https://www.google.com/patents/US,
4430269,https://www.google.com/patents/US,
4430499,https://www.google.com/patents/US,
4431803,https://www.google.com/patents/US,
4431809,https://www.google.com/patents/US,
4434288,https://www.google.com/patents/US,
4436549,https://www.google.com/patents/US,
4436596,https://www.google.com/patents/US,
4436733,https://www.google.com/patents/US,
4436734,https://www.google.com/patents/US,
4436739,https://www.google.com/patents/US,
4436815,https://www.google.com/patents/US,
4436912,https://www.google.com/patents/US,
4440753,https://www.google.com/patents/US,
4440857,https://www.google.com/patents/US,
4443436,https://www.google.com/patents/US,
4448717,https://www.google.com/patents/US,
4448990,https://www.google.com/patents/US,
4450270,https://www.google.com/patents/US,
4451254,https://www.google.com/patents/US,
4451396,https://www.google.com/patents/US,
4452631,https://www.google.com/patents/US,
4452741,https://www.google.com/patents/US,
4452745,https://www.google.com/patents/US,
4452778,https://www.google.com/patents/US,
4452784,https://www.google.com/patents/US,
4456115,https://www.google.com/patents/US,
4458065,https://www.google.com/patents/US,
4458071,https://www.google.com/patents/US,
4458085,https://www.google.com/patents/US,
4459226,https://www.google.com/patents/US,
4459290,https://www.google.com/patents/US,
4459405,https://www.google.com/patents/US,
4461723,https://www.google.com/patents/US,
4462942,https://www.google.com/patents/US,
4463092,https://www.google.com/patents/US,
4463181,https://www.google.com/patents/US,
4465471,https://www.google.com/patents/US,
4468380,https://www.google.com/patents/US,
4468399,https://www.google.com/patents/US,
4468401,https://www.google.com/patents/US,
4468462,https://www.google.com/patents/US,
4468511,https://www.google.com/patents/US,
4468512,https://www.google.com/patents/US,
4468513,https://www.google.com/patents/US,
4468514,https://www.google.com/patents/US,
4468517,https://www.google.com/patents/US,
4469671,https://www.google.com/patents/US,
4471121,https://www.google.com/patents/US,
4471123,https://www.google.com/patents/US,
4473497,https://www.google.com/patents/US,
4474780,https://www.google.com/patents/US,
4474794,https://www.google.com/patents/US,
4474879,https://www.google.com/patents/US,
D275838,https://www.google.com/patents/US,
4477660,https://www.google.com/patents/US,
4478820,https://www.google.com/patents/US,
4479897,https://www.google.com/patents/US,
4479957,https://www.google.com/patents/US,
4480098,https://www.google.com/patents/US,
4482487,https://www.google.com/patents/US,
4482488,https://www.google.com/patents/US,
4482553,https://www.google.com/patents/US,
4482712,https://www.google.com/patents/US,
4483986,https://www.google.com/patents/US,
4486432,https://www.google.com/patents/US,
4486584,https://www.google.com/patents/US,
4486592,https://www.google.com/patents/US,
4487923,https://www.google.com/patents/US,
4490139,https://www.google.com/patents/US,
4490370,https://www.google.com/patents/US,
4492650,https://www.google.com/patents/US,
4492693,https://www.google.com/patents/US,
4492694,https://www.google.com/patents/US,
4492704,https://www.google.com/patents/US,
4492708,https://www.google.com/patents/US,
4493699,https://www.google.com/patents/US,
4495179,https://www.google.com/patents/US,
4495195,https://www.google.com/patents/US,
4495202,https://www.google.com/patents/US,
4497802,https://www.google.com/patents/US,
4500247,https://www.google.com/patents/US,
4500343,https://www.google.com/patents/US,
4500456,https://www.google.com/patents/US,
4500533,https://www.google.com/patents/US,
4500545,https://www.google.com/patents/US,
4501608,https://www.google.com/patents/US,
4501703,https://www.google.com/patents/US,
4501739,https://www.google.com/patents/US,
4501741,https://www.google.com/patents/US,
4501746,https://www.google.com/patents/US,
4501890,https://www.google.com/patents/US,
4501921,https://www.google.com/patents/US,
4502988,https://www.google.com/patents/US,
4503052,https://www.google.com/patents/US,
4503155,https://www.google.com/patents/US,
4504467,https://www.google.com/patents/US,
4506013,https://www.google.com/patents/US,
4507478,https://www.google.com/patents/US,
4508722,https://www.google.com/patents/US,
4508735,https://www.google.com/patents/US,
4508901,https://www.google.com/patents/US,
4510082,https://www.google.com/patents/US,
4513085,https://www.google.com/patents/US,
4513086,https://www.google.com/patents/US,
4513135,https://www.google.com/patents/US,
4514564,https://www.google.com/patents/US,
4515625,https://www.google.com/patents/US,
4515719,https://www.google.com/patents/US,
4515796,https://www.google.com/patents/US,
4518531,https://www.google.com/patents/US,
4520024,https://www.google.com/patents/US,
4521421,https://www.google.com/patents/US,
4521598,https://www.google.com/patents/US,
4522750,https://www.google.com/patents/US,
4522758,https://www.google.com/patents/US,
4522919,https://www.google.com/patents/US,
4524135,https://www.google.com/patents/US,
4525304,https://www.google.com/patents/US,
4525584,https://www.google.com/patents/US,
4525587,https://www.google.com/patents/US,
4526988,https://www.google.com/patents/US,
4528177,https://www.google.com/patents/US,
4528290,https://www.google.com/patents/US,
4528369,https://www.google.com/patents/US,
4530904,https://www.google.com/patents/US,
4533497,https://www.google.com/patents/US,
4533542,https://www.google.com/patents/US,
4533666,https://www.google.com/patents/US,
4533670,https://www.google.com/patents/US,
4533734,https://www.google.com/patents/US,
4534758,https://www.google.com/patents/US,
4537333,https://www.google.com/patents/US,
4537715,https://www.google.com/patents/US,
4537717,https://www.google.com/patents/US,
4537720,https://www.google.com/patents/US,
4537727,https://www.google.com/patents/US,
4537770,https://www.google.com/patents/US,
