,patent_no,url,title,issue_date,date,num_inventor,num_pc,num_npc,num_rb,num_class,num_le
0,4243587,https://www.google.com/patents/US4243587,Process for 3‘_-aminoazetidin-2-ones,1/6/81,6-Jan-81,3,3,2,0,5,0
1,4243588,https://www.google.com/patents/US4243588,Process for novel oxazolinoazetidinones,1/6/81,6-Jan-81,3,6,2,1,6,0
2,4243813,https://www.google.com/patents/US4243813,Substituted 1-sulfonylbenzimidazoles,1/6/81,6-Jan-81,2,3,0,3,10,0
3,4246265,https://www.google.com/patents/US4246265,6-n-Propyl-8‘±-methoxymethyl or methylmercaptomethylergolines and related compounds,1/20/81,20-Jan-81,2,2,1,18,9,0
4,4247542,https://www.google.com/patents/US4247542,A-40104 Antibiotics and process for production thereof,1/27/81,27-Jan-81,2,0,2,5,13,0
5,4247703,https://www.google.com/patents/US4247703,Microbiological modification of antibiotic A23187 esters,1/27/81,27-Jan-81,2,2,1,0,7,0
6,4251439,https://www.google.com/patents/US4251439,Pharmacologically active peptides,2/17/81,17-Feb-81,2,3,1,9,15,0
7,4252624,https://www.google.com/patents/US4252624,Bromination of m-ethyldiphenyl ether,2/24/81,24-Feb-81,1,1,1,7,10,0
8,4252898,https://www.google.com/patents/US4252898,Antibiotics A6888C and A6888X,2/24/81,24-Feb-81,3,2,4,11,17,0
9,4252950,https://www.google.com/patents/US4252950,3-Halo cephalosporins,2/24/81,24-Feb-81,1,8,1,3,6,0
10,4252951,https://www.google.com/patents/US4252951,Isolation of syn-7-(2-amino-4-thiazolyl)-(methoxyimino)acetamido-3-acetoxymethyl-3-cephem-4-carboxylic acid,2/24/81,24-Feb-81,2,4,0,100,8,0
11,4252953,https://www.google.com/patents/US4252953,Antibiotic crystalline epimer,2/24/81,24-Feb-81,1,4,2,2,10,0
12,4252954,https://www.google.com/patents/US4252954,"Salts of dihalo-3,4-dihydro-3-oxo-2-quinoxaline carboxylic acids and hindered amines",2/24/81,24-Feb-81,2,0,1,13,21,0
13,4252955,https://www.google.com/patents/US4252955,Process for preparing 5-halopyrimidines,2/24/81,24-Feb-81,2,1,6,0,9,0
14,4259234,https://www.google.com/patents/US4259234,Analgesic compounds,3/31/81,31-Mar-81,4,1,0,9,20,0
15,4259242,https://www.google.com/patents/US4259242,Method of preparing vindesine sulfate,3/31/81,31-Mar-81,1,1,2,6,4,0
16,4259347,https://www.google.com/patents/US4259347,Control of phytopathogens using dinitroaniline compounds,3/31/81,31-Mar-81,2,20,1,0,9,0
17,4259354,https://www.google.com/patents/US4259354,Method of treating arrhythmia,3/31/81,31-Mar-81,2,2,2,3,6,0
18,4259485,https://www.google.com/patents/US4259485,Crystallization process,3/31/81,31-Mar-81,1,2,2,1,11,1
19,4259501,https://www.google.com/patents/US4259501,Method for preparing 3-amino-5-(t-butyl)isoxazole,3/31/81,31-Mar-81,3,2,1,1,4,1
20,RE30560,https://www.google.com/patents/USRE30560,Oxazolidinedione derivatives of Vinca alkaloids,3/31/81,31-Mar-81,2,3,1,2,6,0
21,RE30561,https://www.google.com/patents/USRE30561,Vinca alkaloid intermediates,3/31/81,31-Mar-81,2,4,0,4,5,0
22,RE30563,https://www.google.com/patents/USRE30563,Preparation of benzoylureas,3/31/81,31-Mar-81,2,1,0,0,24,0
23,4260745,https://www.google.com/patents/US4260745,3-Halo cephalosporins,4/7/81,7-Apr-81,1,8,1,2,6,0
24,4261991,https://www.google.com/patents/US4261991,Method of treating infections caused by Streptococcus faecalis,4/14/81,14-Apr-81,1,2,0,3,7,0
25,4263910,https://www.google.com/patents/US4263910,"Implantate package, system and method",4/28/81,28-Apr-81,3,11,7,87,4,0
26,4264491,https://www.google.com/patents/US4264491,Analgesic compounds,4/28/81,28-Apr-81,4,1,0,5,21,0
