patent_no,http,url
4243595,https://www.google.com/patents/US,
4243666,https://www.google.com/patents/US,
4243672,https://www.google.com/patents/US,
4243674,https://www.google.com/patents/US,
4244887,https://www.google.com/patents/US,
4244951,https://www.google.com/patents/US,
4245049,https://www.google.com/patents/US,
4245053,https://www.google.com/patents/US,
4246263,https://www.google.com/patents/US,
4247462,https://www.google.com/patents/US,
4247568,https://www.google.com/patents/US,
4247699,https://www.google.com/patents/US,
4248882,https://www.google.com/patents/US,
4251563,https://www.google.com/patents/US,
4252811,https://www.google.com/patents/US,
4252812,https://www.google.com/patents/US,
4252957,https://www.google.com/patents/US,
4253918,https://www.google.com/patents/US,
4254250,https://www.google.com/patents/US,
4255426,https://www.google.com/patents/US,
4256484,https://www.google.com/patents/US,
4256733,https://www.google.com/patents/US,
4256897,https://www.google.com/patents/US,
4257817,https://www.google.com/patents/US,
4258054,https://www.google.com/patents/US,
4258061,https://www.google.com/patents/US,
4259331,https://www.google.com/patents/US,
4259345,https://www.google.com/patents/US,
4260598,https://www.google.com/patents/US,
4260740,https://www.google.com/patents/US,
4260764,https://www.google.com/patents/US,
4262021,https://www.google.com/patents/US,
4263402,https://www.google.com/patents/US,
4263438,https://www.google.com/patents/US,
4265653,https://www.google.com/patents/US,
4267331,https://www.google.com/patents/US,
4267342,https://www.google.com/patents/US,
4268516,https://www.google.com/patents/US,
4268522,https://www.google.com/patents/US,
4268523,https://www.google.com/patents/US,
4268692,https://www.google.com/patents/US,
4269837,https://www.google.com/patents/US,
4270005,https://www.google.com/patents/US,
4273775,https://www.google.com/patents/US,
4273782,https://www.google.com/patents/US,
4276183,https://www.google.com/patents/US,
4276219,https://www.google.com/patents/US,
4276285,https://www.google.com/patents/US,
4276297,https://www.google.com/patents/US,
4277403,https://www.google.com/patents/US,
4277404,https://www.google.com/patents/US,
4279910,https://www.google.com/patents/US,
4281004,https://www.google.com/patents/US,
4282229,https://www.google.com/patents/US,
4282242,https://www.google.com/patents/US,
4282246,https://www.google.com/patents/US,
4282321,https://www.google.com/patents/US,
4283340,https://www.google.com/patents/US,
4283409,https://www.google.com/patents/US,
4283417,https://www.google.com/patents/US,
4283527,https://www.google.com/patents/US,
4283539,https://www.google.com/patents/US,
4283569,https://www.google.com/patents/US,
4284829,https://www.google.com/patents/US,
4285867,https://www.google.com/patents/US,
4286098,https://www.google.com/patents/US,
4287181,https://www.google.com/patents/US,
4287182,https://www.google.com/patents/US,
4287341,https://www.google.com/patents/US,
4287425,https://www.google.com/patents/US,
4288543,https://www.google.com/patents/US,
4289702,https://www.google.com/patents/US,
4289704,https://www.google.com/patents/US,
4289772,https://www.google.com/patents/US,
4289879,https://www.google.com/patents/US,
4291060,https://www.google.com/patents/US,
4292444,https://www.google.com/patents/US,
4296120,https://www.google.com/patents/US,
4296129,https://www.google.com/patents/US,
4296203,https://www.google.com/patents/US,
4299820,https://www.google.com/patents/US,
4301998,https://www.google.com/patents/US,
4302464,https://www.google.com/patents/US,
4303643,https://www.google.com/patents/US,
4303659,https://www.google.com/patents/US,
4305752,https://www.google.com/patents/US,
4305877,https://www.google.com/patents/US,
4305949,https://www.google.com/patents/US,
4305955,https://www.google.com/patents/US,
4306097,https://www.google.com/patents/US,
4307106,https://www.google.com/patents/US,
4307108,https://www.google.com/patents/US,
4309222,https://www.google.com/patents/US,
4309347,https://www.google.com/patents/US,
4309427,https://www.google.com/patents/US,
4309545,https://www.google.com/patents/US,
4310529,https://www.google.com/patents/US,
4310550,https://www.google.com/patents/US,
4310668,https://www.google.com/patents/US,
4310669,https://www.google.com/patents/US,
4312877,https://www.google.com/patents/US,
4316010,https://www.google.com/patents/US,
4316960,https://www.google.com/patents/US,
D263172,https://www.google.com/patents/US,
4320124,https://www.google.com/patents/US,
4321196,https://www.google.com/patents/US,
4321372,https://www.google.com/patents/US,
4321391,https://www.google.com/patents/US,
4322557,https://www.google.com/patents/US,
4323499,https://www.google.com/patents/US,
4323506,https://www.google.com/patents/US,
4329429,https://www.google.com/patents/US,
4329495,https://www.google.com/patents/US,
4331159,https://www.google.com/patents/US,
4331599,https://www.google.com/patents/US,
4331602,https://www.google.com/patents/US,
4331683,https://www.google.com/patents/US,
4332942,https://www.google.com/patents/US,
4332952,https://www.google.com/patents/US,
4333932,https://www.google.com/patents/US,
4336265,https://www.google.com/patents/US,
4336368,https://www.google.com/patents/US,
4337250,https://www.google.com/patents/US,
4337350,https://www.google.com/patents/US,
4339583,https://www.google.com/patents/US,
4340678,https://www.google.com/patents/US,
4340737,https://www.google.com/patents/US,
4340763,https://www.google.com/patents/US,
4341220,https://www.google.com/patents/US,
4341792,https://www.google.com/patents/US,
4341906,https://www.google.com/patents/US,
4341956,https://www.google.com/patents/US,
4342695,https://www.google.com/patents/US,
4342697,https://www.google.com/patents/US,
4342768,https://www.google.com/patents/US,
4342771,https://www.google.com/patents/US,
4342781,https://www.google.com/patents/US,
4342868,https://www.google.com/patents/US,
4343813,https://www.google.com/patents/US,
4348264,https://www.google.com/patents/US,
4348526,https://www.google.com/patents/US,
4350696,https://www.google.com/patents/US,
4351833,https://www.google.com/patents/US,
4351840,https://www.google.com/patents/US,
4351843,https://www.google.com/patents/US,
4351845,https://www.google.com/patents/US,
4351940,https://www.google.com/patents/US,
4352741,https://www.google.com/patents/US,
4352807,https://www.google.com/patents/US,
4356122,https://www.google.com/patents/US,
4356174,https://www.google.com/patents/US,
4357332,https://www.google.com/patents/US,
4359416,https://www.google.com/patents/US,
4359472,https://www.google.com/patents/US,
4360463,https://www.google.com/patents/US,
4360700,https://www.google.com/patents/US,
4361513,https://www.google.com/patents/US,
4361649,https://www.google.com/patents/US,
4363421,https://www.google.com/patents/US,
4363803,https://www.google.com/patents/US,
4363912,https://www.google.com/patents/US,
4364957,https://www.google.com/patents/US,
4365077,https://www.google.com/patents/US,
4366134,https://www.google.com/patents/US,
4366575,https://www.google.com/patents/US,
4367207,https://www.google.com/patents/US,
4367211,https://www.google.com/patents/US,
4367234,https://www.google.com/patents/US,
4368330,https://www.google.com/patents/US,
4368331,https://www.google.com/patents/US,
4370328,https://www.google.com/patents/US,
4371696,https://www.google.com/patents/US,
4371720,https://www.google.com/patents/US,
4373970,https://www.google.com/patents/US,
4374148,https://www.google.com/patents/US,
4374826,https://www.google.com/patents/US,
4374843,https://www.google.com/patents/US,
4375430,https://www.google.com/patents/US,
4375434,https://www.google.com/patents/US,
4376076,https://www.google.com/patents/US,
4376204,https://www.google.com/patents/US,
4377521,https://www.google.com/patents/US,
4377524,https://www.google.com/patents/US,
4377581,https://www.google.com/patents/US,
4377590,https://www.google.com/patents/US,
4379783,https://www.google.com/patents/US,
4380542,https://www.google.com/patents/US,
4381263,https://www.google.com/patents/US,
4381308,https://www.google.com/patents/US,
4382085,https://www.google.com/patents/US,
4382086,https://www.google.com/patents/US,
4382822,https://www.google.com/patents/US,
4386205,https://www.google.com/patents/US,
4387229,https://www.google.com/patents/US,
4387235,https://www.google.com/patents/US,
4390670,https://www.google.com/patents/US,
4390709,https://www.google.com/patents/US,
4391827,https://www.google.com/patents/US,
4393001,https://www.google.com/patents/US,
4395394,https://www.google.com/patents/US,
4397783,https://www.google.com/patents/US,
4399163,https://www.google.com/patents/US,
4399296,https://www.google.com/patents/US,
4400385,https://www.google.com/patents/US,
4404216,https://www.google.com/patents/US,
4404219,https://www.google.com/patents/US,
4404372,https://www.google.com/patents/US,
4405626,https://www.google.com/patents/US,
4406798,https://www.google.com/patents/US,
4406888,https://www.google.com/patents/US,
4407811,https://www.google.com/patents/US,
4407953,https://www.google.com/patents/US,
4410539,https://www.google.com/patents/US,
4411892,https://www.google.com/patents/US,
4411925,https://www.google.com/patents/US,
4412762,https://www.google.com/patents/US,
4412958,https://www.google.com/patents/US,
4413119,https://www.google.com/patents/US,
4414220,https://www.google.com/patents/US,
4414388,https://www.google.com/patents/US,
4419284,https://www.google.com/patents/US,
4419521,https://www.google.com/patents/US,
4420426,https://www.google.com/patents/US,
4421924,https://www.google.com/patents/US,
4423048,https://www.google.com/patents/US,
4423233,https://www.google.com/patents/US,
4427678,https://www.google.com/patents/US,
4427679,https://www.google.com/patents/US,
4428935,https://www.google.com/patents/US,
