,patent_no,url,title,issue_date,date,num_inventor,num_pc,num_npc,num_rb,num_class,num_le
0,4243595,https://www.google.com/patents/US4243595,15-Substituted-omega-pentanorprostaglandins,1/6/81,6-Jan-81,4,6,0,0,30,0
1,4243666,https://www.google.com/patents/US4243666,4-Amino-2-piperidino-quinazolines,1/6/81,6-Jan-81,4,1,0,15,19,0
2,4243672,https://www.google.com/patents/US4243672,"5-Substituted 2-pyrroleglyoxylic acids, 5-substituted 2-pyrrolylglycines and derivatives thereof",1/6/81,6-Jan-81,3,5,11,2,10,0
3,4243674,https://www.google.com/patents/US4243674,"9-Hydroxydibenzo[b,d]pyrans and intermediates therefore",1/6/81,6-Jan-81,1,8,0,8,25,0
4,4244887,https://www.google.com/patents/US4244887,Substituted לה-pentanorprostaglandins,1/13/81,13-Jan-81,2,1,0,0,38,0
5,4244951,https://www.google.com/patents/US4244951,"Bis-esters of methanediol with penicillins and penicillanic acid 1,1-dioxide",1/13/81,13-Jan-81,1,8,0,39,23,1
6,4245049,https://www.google.com/patents/US4245049,Preparation of 2-keto-L-gulonic acid,1/13/81,13-Jan-81,2,5,0,14,5,0
7,4245053,https://www.google.com/patents/US4245053,Macroreticular itaconic acid ion exchange resin and process for its preparation,1/13/81,13-Jan-81,3,5,1,7,24,1
8,4246263,https://www.google.com/patents/US4246263,"Antiinflammatory and immunoregulatory pyrimidines, their method of use and pharmaceutical compositions",1/20/81,20-Jan-81,2,1,1,9,33,0
9,4247462,https://www.google.com/patents/US4247462,Ansamycin antibiotic,1/27/81,27-Jan-81,6,1,0,7,10,0
10,4247568,https://www.google.com/patents/US4247568,Preparation of low-calorie food ingredients from starch,1/27/81,27-Jan-81,2,7,4,39,25,1
11,4247699,https://www.google.com/patents/US4247699,Process for making 2-amino-4-hydroxyquinolines,1/27/81,27-Jan-81,1,2,1,0,15,0
12,4248882,https://www.google.com/patents/US4248882,Treating diabetes-associated complications with hydantoin amines,2/3/81,3-Feb-81,2,8,0,19,20,0
13,4251563,https://www.google.com/patents/US4251563,Compositions containing N-nitrosamine formation or oxidation inhibitors and the use thereof,2/17/81,17-Feb-81,2,2,10,4,16,0
14,4252811,https://www.google.com/patents/US4252811,Hexahydro-trans-pyridoindole neuroleptic agents,2/24/81,24-Feb-81,2,5,0,2,9,0
15,4252812,https://www.google.com/patents/US4252812,"2-Substituted-trans-5-aryl-2,3,4,4a,5,9b-hexahydro-1H-pyrido[4,3-b]indoles",2/24/81,24-Feb-81,2,6,1,8,18,0
16,4252957,https://www.google.com/patents/US4252957,Heterocyclylcarbonyl derivatives of urea,2/24/81,24-Feb-81,1,3,2,3,56,0
17,4253918,https://www.google.com/patents/US4253918,Air-drying coating compositions,3/3/81,3-Mar-81,3,10,0,17,24,0
18,4254250,https://www.google.com/patents/US4254250,Amine polymers having dewatering activity,3/3/81,3-Mar-81,3,3,0,13,28,0
19,4255426,https://www.google.com/patents/US4255426,1-(2-Hydroxy-3-n-alkoxypropyl)-4-substituted-piperazines and piperidines,3/10/81,10-Mar-81,1,9,0,5,30,0
20,4256484,https://www.google.com/patents/US4256484,Metallic iron particles for magnetic recording,3/17/81,17-Mar-81,1,11,0,5,14,1
21,4256733,https://www.google.com/patents/US4256733,Acetoxymethyl penam compounds as כ_-lactamase inhibitors,3/17/81,17-Mar-81,1,0,7,9,17,0
22,4256897,https://www.google.com/patents/US4256897,Process for the preparation of L-aspartic acid N-thiocarboxyanhydride,3/17/81,17-Mar-81,1,1,3,3,7,1
23,4257817,https://www.google.com/patents/US4257817,Method of reducing binder demand of inorganic filler,3/24/81,24-Mar-81,2,3,0,41,25,1
24,4258054,https://www.google.com/patents/US4258054,Hydantoin derivatives as therapeutic agents,3/24/81,24-Mar-81,1,1,0,7,20,0
25,4258061,https://www.google.com/patents/US4258061,Interferon induction in animals by amines,3/24/81,24-Mar-81,4,3,0,5,21,0
26,4259331,https://www.google.com/patents/US4259331,Oxytetracycline compositions,3/31/81,31-Mar-81,1,4,0,8,16,0
27,4259345,https://www.google.com/patents/US4259345,2-(Imidazol-1-ylmethyl)pyrroles,3/31/81,31-Mar-81,2,1,0,16,19,0
28,4260598,https://www.google.com/patents/US4260598,Method for increasing antibacterial effectiveness of a כ_-lactam antibiotic,4/7/81,7-Apr-81,1,10,7,10,12,0
29,4260740,https://www.google.com/patents/US4260740,Carboxylated cellulose ion-exchange materials,4/7/81,7-Apr-81,2,2,1,5,21,0
30,4260764,https://www.google.com/patents/US4260764,9-Hydroxyoctahydrobenzo [C] quinolines and intermediates therefor,4/7/81,7-Apr-81,1,4,1,34,24,0
31,4262021,https://www.google.com/patents/US4262021,Antiviral amine and amidine derivatives of glycerol and propanediols,4/14/81,14-Apr-81,1,3,1,6,36,0
32,4263402,https://www.google.com/patents/US4263402,"Process for producing 2,5-diketogluconic",4/21/81,21-Apr-81,2,3,0,2,4,0
33,4263438,https://www.google.com/patents/US4263438,"3-[2,4-(Disubstituted)-phenyl]azacycloalkanones as analgesics",4/21/81,21-Apr-81,5,3,0,19,32,0
34,4265653,https://www.google.com/patents/US4265653,Manganese micronutrient solutions,5/5/81,5-May-81,3,10,2,8,11,0
35,4267331,https://www.google.com/patents/US4267331,"Process for the production of 2-substituted pyrido[4,3-b]-indoles",5/12/81,12-May-81,2,6,1,4,17,0
36,4267342,https://www.google.com/patents/US4267342,Spiro-oxazolidindiones,5/12/81,12-May-81,1,0,0,2,11,0
37,4268516,https://www.google.com/patents/US4268516,"[1]Benzothiopyrano[4,3-c]pyrazoles as immunoregulatory agents",5/19/81,19-May-81,3,3,6,36,7,0
