,patent_no,url,title,issue_date,date,num_patent,num_inventor,num_pc,num_npc,num_rb,num_class,num_le,yearly_sales
0,4243595,https://www.google.com/patents/US4243595,15-Substituted-omega-pentanorprostaglandins,1981-01-06,"Jan 6, 1981",431.0,4.0,6,0.0,0.0,30,0.0,3250.0
1,4243666,https://www.google.com/patents/US4243666,4-Amino-2-piperidino-quinazolines,1981-01-06,"Jan 6, 1981",432.0,4.0,1,0.0,15,19,0.0,3250.0
2,4243672,https://www.google.com/patents/US4243672,"5-Substituted 2-pyrroleglyoxylic acids, 5-substituted 2-pyrrolylglycines and derivatives thereof",1981-01-06,"Jan 6, 1981",433.0,3.0,5,11,2,10,0.0,3250.0
3,4243674,https://www.google.com/patents/US4243674,"9-Hydroxydibenzo[b,d]pyrans and intermediates therefore",1981-01-06,"Jan 6, 1981",434.0,1.0,8,0,8,25,0.0,3250.0
4,4244887,https://www.google.com/patents/US4244887,Substituted ω-pentanorprostaglandins,1981-01-13,"Jan 13, 1981",435.0,2.0,1,0,0,38,0.0,3250.0
5,4244951,https://www.google.com/patents/US4244951,"Bis-esters of methanediol with penicillins and penicillanic acid 1,1-dioxide",1981-01-13,"Jan 13, 1981",436.0,1.0,8,0,39,23,1,3250.0
6,4245049,https://www.google.com/patents/US4245049,Preparation of 2-keto-L-gulonic acid,1981-01-13,"Jan 13, 1981",437.0,2.0,5,0,14,5,0,3250.0
7,4245053,https://www.google.com/patents/US4245053,Macroreticular itaconic acid ion exchange resin and process for its preparation,1981-01-13,"Jan 13, 1981",438.0,3.0,5,1,7,24,1,3250.0
8,4246263,https://www.google.com/patents/US4246263,"Antiinflammatory and immunoregulatory pyrimidines, their method of use and pharmaceutical compositions",1981-01-20,"Jan 20, 1981",439.0,2.0,1,1,9,33,0,3250.0
9,4247462,https://www.google.com/patents/US4247462,Ansamycin antibiotic,1981-01-27,"Jan 27, 1981",440.0,6.0,1,0,7,10,0,3250.0
10,4247568,https://www.google.com/patents/US4247568,Preparation of low-calorie food ingredients from starch,1981-01-27,"Jan 27, 1981",441.0,2.0,7,4,39,25,1,3250.0
11,4247699,https://www.google.com/patents/US4247699,Process for making 2-amino-4-hydroxyquinolines,1981-01-27,"Jan 27, 1981",442.0,1.0,2,1,0,15,0,3250.0
12,4248882,https://www.google.com/patents/US4248882,Treating diabetes-associated complications with hydantoin amines,1981-02-03,"Feb 3, 1981",443.0,2.0,8,0,19,20,0,3250.0
13,4251563,https://www.google.com/patents/US4251563,Compositions containing N-nitrosamine formation or oxidation inhibitors and the use thereof,1981-02-17,"Feb 17, 1981",444.0,2.0,2,10,4,16,0,3250.0
14,4252811,https://www.google.com/patents/US4252811,Hexahydro-trans-pyridoindole neuroleptic agents,1981-02-24,"Feb 24, 1981",445.0,2.0,5,0,2,9,0,3250.0
15,4252812,https://www.google.com/patents/US4252812,"2-Substituted-trans-5-aryl-2,3,4,4a,5,9b-hexahydro-1H-pyrido[4,3-b]indoles",1981-02-24,"Feb 24, 1981",446.0,2.0,6,1,8,18,0,3250.0
16,4252957,https://www.google.com/patents/US4252957,Heterocyclylcarbonyl derivatives of urea,1981-02-24,"Feb 24, 1981",447.0,1.0,3,2,3,56,0,3250.0
17,4253918,https://www.google.com/patents/US4253918,Air-drying coating compositions,1981-03-03,"Mar 3, 1981",448.0,3.0,10,0,17,24,0,3250.0
18,4254250,https://www.google.com/patents/US4254250,Amine polymers having dewatering activity,1981-03-03,"Mar 3, 1981",449.0,3.0,3,0,13,28,0,3250.0
19,4255426,https://www.google.com/patents/US4255426,1-(2-Hydroxy-3-n-alkoxypropyl)-4-substituted-piperazines and piperidines,1981-03-10,"Mar 10, 1981",450.0,1.0,9,0,5,30,0,3250.0
20,4256484,https://www.google.com/patents/US4256484,Metallic iron particles for magnetic recording,1981-03-17,"Mar 17, 1981",451.0,1.0,11,0,5,14,1,3250.0
21,4256733,https://www.google.com/patents/US4256733,Acetoxymethyl penam compounds as β-lactamase inhibitors,1981-03-17,"Mar 17, 1981",452.0,1.0,0,7,9,17,0,3250.0
22,4256897,https://www.google.com/patents/US4256897,Process for the preparation of L-aspartic acid N-thiocarboxyanhydride,1981-03-17,"Mar 17, 1981",453.0,1.0,1,3,3,7,1,3250.0
23,4257817,https://www.google.com/patents/US4257817,Method of reducing binder demand of inorganic filler,1981-03-24,"Mar 24, 1981",454.0,2.0,3,0,41,25,1,3250.0
24,4258054,https://www.google.com/patents/US4258054,Hydantoin derivatives as therapeutic agents,1981-03-24,"Mar 24, 1981",455.0,1.0,1,0,7,20,0,3250.0
25,4258061,https://www.google.com/patents/US4258061,Interferon induction in animals by amines,1981-03-24,"Mar 24, 1981",456.0,4.0,3,0,5,21,0,3250.0
26,4259331,https://www.google.com/patents/US4259331,Oxytetracycline compositions,1981-03-31,"Mar 31, 1981",457.0,1.0,4,0,8,16,0,3250.0
27,4259345,https://www.google.com/patents/US4259345,2-(Imidazol-1-ylmethyl)pyrroles,1981-03-31,"Mar 31, 1981",458.0,2.0,1,0,16,19,0,3250.0
28,4260598,https://www.google.com/patents/US4260598,Method for increasing antibacterial effectiveness of a β-lactam antibiotic,1981-04-07,"Apr 7, 1981",459.0,1.0,10,7,10,12,0,3250.0
29,4260740,https://www.google.com/patents/US4260740,Carboxylated cellulose ion-exchange materials,1981-04-07,"Apr 7, 1981",460.0,2.0,2,1,5,21,0,3250.0
30,4260764,https://www.google.com/patents/US4260764,9-Hydroxyoctahydrobenzo [C] quinolines and intermediates therefor,1981-04-07,"Apr 7, 1981",461.0,1.0,4,1,34,24,0,3250.0
31,4262021,https://www.google.com/patents/US4262021,Antiviral amine and amidine derivatives of glycerol and propanediols,1981-04-14,"Apr 14, 1981",462.0,1.0,3,1,6,36,0,3250.0
32,4263402,https://www.google.com/patents/US4263402,"Process for producing 2,5-diketogluconic",1981-04-21,"Apr 21, 1981",463.0,2.0,3,0,2,4,0,3250.0
33,4263438,https://www.google.com/patents/US4263438,"3-[2,4-(Disubstituted)-phenyl]azacycloalkanones as analgesics",1981-04-21,"Apr 21, 1981",464.0,5.0,3,0,19,32,0,3250.0
34,4265653,https://www.google.com/patents/US4265653,Manganese micronutrient solutions,1981-05-05,"May 5, 1981",465.0,3.0,10,2,8,11,0,3250.0
35,4267331,https://www.google.com/patents/US4267331,"Process for the production of 2-substituted pyrido[4,3-b]-indoles",1981-05-12,"May 12, 1981",466.0,2.0,6,1,4,17,0,3250.0
36,4267342,https://www.google.com/patents/US4267342,Spiro-oxazolidindiones,1981-05-12,"May 12, 1981",467.0,1.0,0,0,2,11,0,3250.0
37,4268516,https://www.google.com/patents/US4268516,"[1]Benzothiopyrano[4,3-c]pyrazoles as immunoregulatory agents",1981-05-19,"May 19, 1981",468.0,3.0,3,6,36,7,0,3250.0
38,4268522,https://www.google.com/patents/US4268522,"13,14-Dihydro-15-alkenyl- and 13,14-dihydro-15-alkynyl prostaglandins and analogs thereof",1981-05-19,"May 19, 1981",469.0,2.0,1,0,21,17,0,3250.0
39,4268523,https://www.google.com/patents/US4268523,"1,9-Dihydroxyoctahydrophenanthrenes and intermediates therefor",1981-05-19,"May 19, 1981",470.0,5.0,2,1,3,70,0,3250.0
40,4268692,https://www.google.com/patents/US4268692,"1,9-Dihydroxyoctahydrophenanthrenes and intermediates therefor",1981-05-19,"May 19, 1981",471.0,5.0,2,1,0,67,0,3250.0
41,4269837,https://www.google.com/patents/US4269837,"Hypoglycemic guanylamidines, compositions and use",1981-05-26,"May 26, 1981",472.0,2.0,0,3,4,134,0,3250.0
42,4270005,https://www.google.com/patents/US4270005,"1,9-Dihydroxyoctahydrophenanthrenes and intermediates therefor",1981-05-26,"May 26, 1981",473.0,5.0,4,2,5,67,0,3250.0
43,4273775,https://www.google.com/patents/US4273775,"Hydantoin derivatives, anti-diabetic compositions thereof, and method of use thereof",1981-06-16,"Jun 16, 1981",474.0,1.0,1,1,3,6,0,3250.0
44,4273782,https://www.google.com/patents/US4273782,Inhibition of thromboxane synthetase by 3-(1-Imidazolylalkyl) indoles,1981-06-16,"Jun 16, 1981",475.0,2.0,7,2,64,48,0,3250.0
45,4276183,https://www.google.com/patents/US4276183,Cobalt modified magnetic iron oxide,1981-06-30,"Jun 30, 1981",476.0,1.0,6,0,10,16,3,3250.0
